__time,/effort_control/data.0,/joint_states/header/stamp,/joint_states/joint0/position,/joint_states/joint0/velocity,/joint_states/joint1/position,/joint_states/joint1/velocity
1699809380.09282,,,,,,
1699809380.09285,,,,,,
1699809380.09304,,,,,,
1699809380.09308,,,,,,
1699809380.0931,,,,,,
1699809380.09323,,,,,,
1699809380.09326,,,,,,
1699809380.09328,,,,,,
1699809380.0933,,,,,,
1699809380.09335,,,,,,
1699809380.09339,,,,,,
1699809380.09349,,,,,,
1699809380.09464,,,,,,
1699809380.09469,,,,,,
1699809380.09473,,,,,,
1699809380.12313,,,,,,
1699809380.14519,,,,,,
1699809380.14526,,,,,,
1699809380.14527,,,,,,
1699809380.14529,,,,,,
1699809380.1465,,,,,,
1699809380.14656,,,,,,
1699809380.14659,,,,,,
1699809380.35475,,,,,,
1699809380.35556,,,,,,
1699809380.36648,,,,,,
1699809380.37081,,,,,,
1699809380.37088,,,,,,
1699809380.37092,,,,,,
1699809380.37169,,,,,,
1699809380.37175,,,,,,
1699809380.3718,,,,,,
1699809380.37226,,,,,,
1699809380.37644,,,,,,
1699809380.37648,,,,,,
1699809380.37693,,,,,,
1699809380.37698,,,,,,
1699809380.37702,,,,,,
1699809380.37706,,,,,,
1699809380.3771,,,,,,
1699809380.37714,,,,,,
1699809380.37717,,,,,,
1699809380.37721,,,,,,
1699809380.39384,,,,,,
1699809380.39476,,,,,,
1699809380.39555,,,,,,
1699809380.39559,,,,,,
1699809380.39658,,,,,,
1699809380.39908,,,,,,
1699809380.39914,,,,,,
1699809380.39916,,,,,,
1699809380.40131,,,,,,
1699809380.40142,,,,,,
1699809380.40208,,,,,,
1699809380.40356,,,,,,
1699809380.40758,,,,,,
1699809380.40763,,,,,,
1699809380.41034,,,,,,
1699809380.41121,,1699809380.41092,24.174129071,0.095873805,-6.283797252,-0.095873817
1699809380.41133,,,,,,
1699809380.41295,,1699809380.41264,24.174908045,0.19174761,-6.284312573,-0.191747622
1699809380.41316,,,,,,
1699809380.41473,,1699809380.41445,24.175387414,0.38349522,-6.285259327,-0.38349522
1699809380.41493,,,,,,
1699809380.41654,,1699809380.41611,24.176202342,0.38349522,-6.285391154,-0.191747622
1699809380.41674,,,,,,
1699809380.41852,,,,,,
1699809380.41853,,1699809380.41836,24.176118452,0.191747622,-6.285738696,-0.191747622
1699809380.42039,,,,,,
1699809380.4204,,1699809380.42011,24.177101158,0.191747622,-6.286122191,-0.191747622
1699809380.42271,,,,,,
1699809380.42274,,1699809380.42207,24.178035928,0.479369043,-6.286817276,-0.287621421
1699809380.42437,,1699809380.42419,24.179354193,0.575242842,-6.287428472,-0.287621421
1699809380.42449,,,,,,
1699809380.42667,,1699809380.42624,24.179282287,0.191747645,-6.288279352,-0.38349522
1699809380.42683,,,,,,
1699809380.42831,,1699809380.42807,24.179989357,0.287621445,-6.288459115,-0.191747622
1699809380.42847,,,,,,
1699809380.43029,,,,,,
1699809380.43058,,1699809380.42999,24.180564599,0.287621445,-6.288830626,-0.191747622
1699809380.43216,,,,,,
1699809380.43229,,1699809380.43199,24.181631195,0.383495244,-6.28977738,-0.38349522
1699809380.43436,,,,,,
1699809380.43447,,1699809380.43424,24.182422154,0.383495244,-6.290256749,-0.287621421
1699809380.43617,,1699809380.43607,24.182781681,0.287621445,-6.290796039,-0.287621421
1699809380.43663,,,,,,
1699809380.43836,,,,,,
1699809380.43839,,1699809380.43811,24.183620577,0.383495244,-6.291347313,-0.287621421
1699809380.44066,,,,,,
1699809380.44068,,1699809380.4401,24.184387567,0.383495244,-6.291898588,-0.287621421
1699809380.44231,,,,,,
1699809380.44238,,1699809380.44219,24.185166542,0.383495244,-6.292258114,-0.191747622
1699809380.44465,,,,,,
1699809380.44468,,1699809380.44411,24.185609958,0.191747645,-6.292533752,-0.191747622
1699809380.44639,,,,,,
1699809380.44641,,1699809380.44608,24.186149248,0.287621445,-6.292917247,-0.191747622
1699809380.44865,,,,,,
1699809380.44867,,1699809380.4481,24.186880286,0.383495244,-6.293624316,-0.287621421
1699809380.45045,,1699809380.45019,24.187491481,0.287621445,-6.294223527,-0.287621421
1699809380.45088,,,,,,
1699809380.45223,,1699809380.4521,24.188030772,0.287621445,-6.294547101,-0.191747622
